driverId,week,hours-logged,miles-logged
109,10,63,3000
87,43,77,3200
72,47,70,700
94,1,59,1400
70,8,73,2300
103,27,79,3300
23,10,63,2800
54,41,72,3300
97,49,51,1500
45,25,69,1900
14,12,58,300
75,34,61,1600
57,43,52,4000
40,21,51,400
106,15,61,2200
48,41,76,2300
48,27,65,2500
85,13,53,3600
11,2,75,3800
60,15,78,1300
27,14,79,100
31,5,61,2200
15,4,66,4000
70,34,53,4000
37,33,74,1000
19,51,51,3900
82,12,79,500
45,31,51,1400
60,47,58,1500
78,41,76,1600
79,8,60,1500
85,14,72,200
107,22,55,3000
98,42,50,3500
44,18,80,1700
65,31,50,1300
12,3,65,1200
102,33,68,1000
34,47,70,2600
88,18,64,3200
35,2,63,1600
65,8,57,700
78,6,67,1900
67,17,68,0
96,2,72,2600
79,15,60,1600
86,10,72,0
50,27,69,3600
64,28,58,1500
80,15,73,600
57,4,72,3500
83,35,76,2800
81,45,59,900
108,17,50,1100
11,30,77,3200
34,19,63,2500
107,38,66,2600
55,20,68,1600
33,3,70,600
61,19,65,2700
22,23,77,2800
44,41,74,1100
64,17,73,2900
53,8,50,2400
48,32,68,100
13,42,56,3200
79,29,64,3200
16,43,62,400
58,2,66,2400
83,18,74,1800
103,39,77,100
78,5,69,3700
86,7,78,3900
41,17,62,200
41,11,74,2100
62,34,54,2300
58,21,64,100
28,11,76,1100
84,22,64,3500
25,50,78,2400
74,33,50,1700
57,38,51,3600
71,42,64,800
70,8,50,3100
98,10,74,2600
12,34,58,700
34,13,69,2200
10,37,59,100
56,24,78,900
104,24,70,100
32,16,54,1500
62,50,76,0
109,49,77,3000
31,27,52,3600
29,43,73,900
101,6,62,800
12,22,75,4000
63,31,75,2800
107,32,60,3400
24,44,50,2300
88,37,73,2700
99,40,50,2200
72,46,74,2700
46,10,57,3600
50,27,54,600
19,31,60,400
58,49,78,1700
41,10,50,100
75,30,66,400
79,20,64,3600
92,17,59,2900
64,33,58,2100
103,31,73,900
42,35,74,0
97,7,64,3900
80,35,58,700
103,1,67,3300
106,50,64,3500
11,32,61,3000
22,31,77,1500
14,39,78,1100
98,19,66,800
78,49,62,2400
44,24,51,2200
19,16,78,500
87,51,70,2600
31,24,79,3100
32,17,77,4000
44,12,54,3000
21,25,58,3800
45,19,71,400
107,51,75,2300
49,42,68,2200
64,13,70,0
51,24,79,3000
69,26,79,3100
104,1,74,3400
90,49,53,3900
75,2,73,1800
42,40,80,1300
74,43,73,0
78,2,54,3900
64,50,71,200
87,37,56,2600
41,36,60,2600
52,22,63,1300
83,16,53,3900
64,50,80,4000
83,33,77,800
55,20,58,3000
108,16,59,1100
19,44,80,1400
14,17,50,2400
99,34,74,3700
69,47,79,2200
49,23,52,1100
47,36,59,1800
59,44,56,1900
97,3,71,200
27,11,57,2800
29,22,66,2800
70,17,54,1500
57,9,52,1900
78,15,67,100
94,30,78,3900
48,48,72,2200
52,41,72,2900
90,13,55,400
10,13,76,0
57,23,66,700
84,15,66,2800
108,48,61,1100
26,26,66,900
87,43,57,1800
86,21,80,3000
75,44,54,3000
85,49,56,800
84,21,76,2300
23,24,61,2000
13,20,54,1700
65,42,66,4000
41,27,79,2300
16,16,54,2300
35,16,71,600
93,2,75,2800
103,38,61,3800
58,13,52,3300
48,39,77,3000
15,32,68,4000
16,32,58,2800
31,18,69,300
45,2,63,3200
75,15,55,1200
56,14,65,1700
34,34,51,1300
19,10,60,100
96,13,58,200
93,31,58,700
67,32,54,1900
33,12,68,1700
106,21,53,2600
55,33,64,4000
36,21,73,1700
92,28,62,1000
23,48,60,1200
90,31,53,3900
107,52,74,2600
47,44,65,3100
51,22,80,700
107,50,51,3800
55,7,71,2000
24,35,55,2900
33,42,59,2700
10,25,59,1900
46,4,67,4000
80,44,79,800
93,21,50,2000
51,45,52,1800
76,24,56,3900
21,34,56,2600
108,11,64,3100
72,1,55,900
13,4,61,2900
69,49,75,0
34,11,60,200
24,12,74,300
83,24,68,1600
25,3,79,100
99,16,50,3600
75,30,64,1300
44,11,68,800
91,45,52,3100
78,8,70,1100
28,27,68,100
10,45,74,1000
52,1,63,3100
29,47,53,200
86,43,79,0
105,40,76,3900
52,33,78,3500
17,33,66,4000
57,19,64,3800
22,27,78,400
32,33,76,300
63,21,64,2800
24,18,78,900
47,13,54,2700
38,1,58,100
18,36,67,3800
75,46,64,2700
83,12,66,2400
14,19,78,3800
50,34,63,3500
38,42,69,4000
10,24,80,3300
26,37,75,4000
65,24,79,3300
39,3,64,4000
85,13,61,2200
80,8,51,1100
34,40,79,3300
28,18,76,3600
76,7,68,1100
96,18,70,100
49,6,60,1600
24,35,76,1500
63,43,50,2500
104,32,67,2400
84,18,65,200
22,7,64,1500
67,20,60,2500
63,46,59,2900
51,17,62,3000
109,3,53,600
42,9,66,2400
72,19,70,3800
33,46,75,600
29,1,71,3500
61,5,56,3200
84,18,54,2700
58,35,62,4000
95,22,55,1200
23,33,62,200
103,49,66,1100
41,29,55,3800
17,25,57,900
35,50,57,1200
62,30,70,4000
75,6,67,3100
82,49,70,1100
45,5,74,3000
102,19,66,3600
26,23,76,2500
84,5,69,3100
27,27,68,2100
54,25,79,3400
76,41,70,3300
75,12,67,2200
74,38,56,1400
54,24,66,2600
102,14,50,3100
54,4,52,3000
75,18,74,3500
22,33,57,900
74,40,57,200
15,50,52,500
82,36,53,2000
61,33,79,2200
57,28,69,400
44,52,65,3300
52,49,50,3300
30,1,72,1900
13,15,60,1400
56,2,67,3800
80,46,76,300
91,40,65,3100
16,2,71,3500
105,45,65,3100
65,36,77,3800
74,21,63,3800
108,30,78,400
40,41,71,2500
53,41,78,3900
106,33,77,400
19,15,59,1900
71,45,67,300
61,31,69,1800
67,26,71,2000
12,37,77,3700
80,20,52,1800
43,25,77,2300
70,51,64,3100
17,46,77,2500
69,23,53,1900
97,36,51,700
87,45,78,1000
19,15,67,3600
92,32,67,1800
42,23,63,600
106,28,53,1000
104,15,74,1500
50,13,75,1200
97,39,69,3000
82,6,69,0
75,10,69,3300
32,36,51,1100
20,45,60,2500
52,26,78,1700
71,1,80,3700
73,24,76,3800
52,30,74,900
30,30,73,200
99,50,69,2800
16,45,57,2000
56,22,65,2000
63,23,62,3300
55,26,71,2300
46,4,74,200
84,52,80,1500
31,12,50,1600
37,13,50,600
91,8,73,1300
107,8,69,3500
104,3,53,0
97,4,51,3800
55,16,74,3600
61,32,63,3200
85,16,57,1800
12,20,73,2600
10,50,64,2800
13,42,64,3800
82,21,64,2700
83,27,59,3500
60,4,52,3200
25,28,69,3400
106,47,50,1300
101,45,52,1000
104,16,63,1300
23,41,66,700
88,15,53,3500
109,29,53,2300
25,20,56,3100
85,22,54,2900
89,46,59,2700
49,1,51,900
93,2,52,3900
66,25,73,1300
94,7,55,200
89,41,69,700
70,47,52,0
99,30,66,3300
76,12,55,3300
63,16,72,800
34,25,60,600
91,21,56,3300
37,14,69,4000
61,36,52,2400
108,13,79,800
44,52,52,3000
63,5,53,3500
39,15,63,2300
20,17,73,800
18,49,58,2900
53,48,80,900
105,2,60,3000
68,28,77,4000
57,15,64,1100
17,27,80,3000
86,48,67,3400
10,44,52,300
20,51,54,1800
75,23,61,4000
107,15,61,700
96,1,66,1300
10,1,65,2200
87,25,63,800
56,46,61,500
107,10,79,3100
109,19,75,0
43,9,61,100
41,12,64,3000
23,28,52,200
40,17,68,1300
109,19,79,2400
51,33,73,100
71,35,59,2400
29,27,50,1600
68,18,64,1700
45,33,71,3300
44,12,79,400
78,20,76,1100
14,22,56,2100
13,39,64,4000
93,11,64,3900
43,47,79,800
49,29,60,3800
45,16,59,2500
31,16,60,3200
31,22,78,1700
92,19,67,500
34,51,74,3600
11,8,78,2400
15,17,77,1000
107,38,58,700
38,18,69,1100
39,22,78,500
92,27,74,3300
11,25,58,1300
30,31,58,4000
71,17,59,100
42,9,53,2600
14,6,59,700
12,40,68,3800
54,14,61,2900
100,31,78,2600
109,1,52,1300
20,36,69,1500
79,30,61,3300
75,36,73,600
83,48,53,3900
30,27,80,3900
90,31,50,2200
20,16,75,3100
101,22,67,3700
18,25,61,100
22,20,57,300
98,25,65,2300
39,15,64,200
42,16,80,100
24,20,80,2100
38,19,50,3500
28,39,75,2900
18,38,80,3900
24,19,75,2400
107,38,80,2500
31,7,57,1200
39,33,72,3600
45,42,76,1900
70,49,53,300
102,28,59,2100
27,29,60,800
67,25,52,3700
100,4,53,3500
76,46,60,900
25,35,59,3100
38,13,80,2600
36,4,64,1700
62,23,79,3600
18,49,71,2800
100,19,74,2700
58,29,59,2700
81,19,52,100
55,21,59,3500
70,51,59,3100
36,26,53,3200
75,21,75,700
88,17,62,2400
85,1,60,3800
80,40,70,3000
60,44,78,100
68,10,73,2300
90,44,61,1500
50,22,69,4000
60,19,51,3400
92,36,71,400
53,30,67,1200
96,18,70,3000
13,9,67,600
61,21,63,2600
78,4,78,900
50,37,68,3700
76,15,63,3100
69,14,72,1500
10,10,70,1000
16,26,58,2600
82,17,73,3100
92,39,71,3400
49,18,59,3300
26,52,65,1500
58,3,63,800
36,8,68,2100
84,19,77,2400
26,30,57,1000
22,21,80,3400
28,38,61,2800
50,34,57,1800
68,40,64,1300
94,37,60,500
104,5,77,2700
101,42,57,2200
22,23,63,1500
60,3,68,500
29,3,52,4000
99,35,78,2500
106,48,60,0
88,44,79,1200
99,9,62,2100
81,22,69,1600
54,8,79,3500
42,1,59,2800
52,52,80,800
80,30,76,3900
102,42,59,3300
83,1,63,2800
68,12,74,100
76,1,64,2700
56,9,59,3500
91,50,71,4000
68,32,73,700
13,48,63,1600
93,26,66,1600
55,10,71,3700
53,49,59,2800
54,11,68,3400
47,16,60,400
65,29,54,2800
12,48,72,3900
101,21,77,200
26,40,53,100
41,51,55,1500
76,33,72,500
69,36,68,100
54,43,79,600
21,33,57,1300
62,40,58,900
42,45,76,400
75,48,73,0
107,49,73,1600
41,40,55,500
94,25,62,2000
42,6,55,1000
101,1,71,900
97,25,78,4000
15,32,52,1900
91,14,79,100
56,26,71,4000
16,34,80,3100
79,20,54,600
80,3,54,1700
52,32,66,2100
53,34,58,2000
101,17,51,400
22,14,58,2800
88,47,61,1500
74,42,54,1400
36,23,51,1700
77,38,58,3900
59,34,66,0
24,27,75,900
77,15,65,700
87,35,54,2100
20,51,75,3200
108,49,64,1200
61,20,72,2700
86,44,50,500
74,32,77,3500
34,50,60,3500
77,4,55,1100
65,49,65,400
77,4,76,1400
22,9,50,2500
72,39,57,3000
60,21,62,1700
84,47,56,1300
99,9,56,3500
75,32,74,2600
66,36,56,200
30,24,66,3300
28,46,67,3100
34,40,74,1500
73,46,67,500
89,48,52,2200
109,25,79,3200
36,49,52,3600
94,12,70,1300
96,6,74,200
80,16,63,3200
53,33,52,3600
82,14,78,2800
30,8,77,4000
58,32,65,200
69,1,52,3000
12,24,76,100
55,39,58,3600
61,44,71,1400
47,27,67,2200
94,3,72,1200
94,14,78,2700
44,5,51,2200
70,47,64,2500
109,43,64,0
95,32,55,3600
16,11,79,3600
15,49,69,2100
100,42,53,1200
42,46,72,3800
61,15,54,3500
38,40,67,400
81,21,71,3300
82,28,79,1600
99,14,71,400
89,6,62,2300
21,20,79,2600
78,44,50,3900
81,51,71,2400
69,17,62,1100
39,29,77,2300
97,48,52,300
41,30,80,3400
36,31,76,400
105,17,72,2100
93,31,66,3500
38,16,62,800
71,17,51,600
23,13,62,2700
15,12,75,2400
90,6,63,2400
107,47,53,0
95,49,67,3800
85,49,66,2500
100,5,53,3200
55,33,56,3700
107,44,60,1400
92,6,65,3000
27,5,72,400
26,39,60,1900
87,33,67,2700
37,21,58,2600
35,8,65,3200
91,24,59,2000
12,47,72,1300
44,41,73,1700
24,16,50,1000
63,9,73,600
31,49,76,300
16,10,79,1800
43,5,69,100
18,46,78,3400
49,37,59,1300
31,50,68,2400
57,40,68,2000
51,27,50,1500
106,28,69,700
93,8,56,100
51,4,63,1000
15,52,60,2900
72,8,69,1000
74,30,56,400
35,49,67,2700
43,25,51,3900
41,41,56,3900
52,10,61,0
44,30,71,3000
102,16,76,3300
32,52,78,2200
23,41,64,2000
101,50,58,500
43,19,61,0
26,37,56,100
49,19,68,1700
28,4,59,600
108,49,51,3600
48,8,77,3100
91,4,58,1900
107,7,54,1200
60,35,58,1600
26,43,75,3600
50,37,61,3900
52,15,77,2300
94,19,58,4000
14,43,64,2100
86,15,75,200
65,20,54,200
12,4,71,1700
98,13,67,3700
55,13,69,2900
10,19,63,3100
58,26,56,100
23,23,63,0
85,28,70,4000
83,33,68,300
64,17,50,2800
22,29,78,3100
69,33,64,3900
61,15,70,3100
71,3,71,3700
33,52,57,1200
98,48,76,1400
42,46,62,3000
40,14,80,2300
107,29,51,3500
97,10,67,900
78,22,62,2800
18,12,54,700
78,35,57,1800
69,1,79,300
55,50,52,4000
103,42,73,200
92,43,77,2600
78,13,59,3200
32,17,78,1200
56,37,53,3300
96,52,74,2800
99,36,75,0
18,8,72,600
69,17,50,400
18,16,60,400
91,11,60,2600
83,21,68,3300
82,49,80,3500
20,51,52,800
42,9,78,1200
46,9,67,1200
51,17,70,1000
12,11,62,2000
49,6,53,3100
91,35,70,3800
40,28,68,3700
72,18,64,3500
97,23,52,1500
85,5,59,1600
16,21,61,0
88,16,55,1100
82,2,70,1100
56,9,77,3200
92,15,74,2300
84,37,68,700
32,48,74,1200
62,6,73,3200
71,48,61,1400
62,32,59,1200
101,20,52,900
44,27,71,3600
17,52,70,100
19,30,71,2800
105,41,79,2900
83,19,74,300
51,42,78,400
43,31,77,3000
64,14,56,500
45,46,51,2100
34,28,59,1200
37,13,80,400
53,47,66,2900
86,17,51,500
78,1,52,3700
74,25,58,2300
58,34,64,3700
87,30,72,100
105,5,68,2400
88,45,59,1800
71,19,72,2400
30,43,61,1200
106,22,80,3900
97,6,69,2400
26,39,73,1300
89,36,79,1200
102,6,79,800
15,25,80,700
102,25,60,300
48,48,76,3600
81,34,73,3400
78,9,55,3200
18,1,74,3800
28,3,74,1900
104,48,58,3100
52,9,78,3100
24,1,66,1300
42,13,55,3700
53,38,68,1200
40,21,59,1000
27,46,77,700
67,23,73,3600
100,32,76,1600
85,21,75,1600
92,23,78,2600
59,41,61,1500
83,3,51,3400
11,52,78,3500
69,48,57,100
39,18,64,3500
109,25,60,3200
25,33,60,3400
38,51,59,300
71,6,60,1300
76,43,77,900
64,19,78,2000
70,27,70,2800
26,14,50,1300
92,16,76,3300
109,41,79,3700
39,12,61,2200
53,47,69,400
24,39,70,3900
40,36,57,1200
105,40,61,1400
11,11,80,2200
20,9,60,2900
92,41,74,2600
41,9,70,3900
31,15,79,1800
43,3,64,1800
96,19,57,1900
27,28,58,1600
48,4,58,1700
60,27,74,4000
66,31,53,2800
95,26,66,300
92,4,53,1500
56,43,56,2600
50,51,64,1600
23,17,57,1000
46,12,53,2800
28,14,51,3900
86,50,74,400
14,51,70,1400
60,24,52,1600
53,1,54,2100
84,30,66,600
10,35,51,3000
81,10,68,2000
58,7,57,4000
63,17,54,3100
56,50,65,3700
39,29,71,1500
31,22,61,1600
22,19,72,800
30,5,70,1100
79,17,58,400
94,41,59,3700
13,34,65,3900
40,48,66,1200
103,37,51,2600
59,45,80,2000
70,13,63,1600
32,7,75,3100
80,37,80,2400
85,28,71,2200
33,29,67,2600
58,48,67,3500
41,36,74,4000
99,41,76,3700
83,16,73,2000
103,32,76,3000
49,52,62,3800
90,9,76,300
43,3,71,200
35,19,72,1100
43,7,59,3500
33,20,60,3900
95,50,51,1400
62,5,76,3300
36,52,73,1700
102,5,57,800
40,8,59,3800
16,14,57,1600
101,12,62,2600
79,18,60,400
78,48,66,2400
43,1,74,1000
20,9,56,900
13,11,74,200
50,51,53,1100
40,47,79,2100
33,17,73,300
61,10,56,300
87,45,77,300
44,48,76,3500
17,48,53,300
39,15,62,200
40,45,75,3600
16,27,60,1800
96,33,57,2200
79,30,55,2800
44,41,51,3000
66,28,71,3800
13,34,59,3300
18,50,77,200
40,32,67,700
32,20,66,2800
65,47,55,2800
18,8,54,2700
81,47,52,1100
103,7,75,2500
76,7,56,1600
60,38,71,1900
32,20,70,3800
99,30,71,600
47,28,50,2600
28,6,64,2800
77,26,63,4000
55,18,64,2100
18,23,76,3800
23,19,53,2500
43,1,54,2200
65,48,50,1300
77,30,60,2500
61,18,65,100
34,30,53,300
29,36,75,2100
68,36,58,1000
59,36,73,2200
22,24,75,2600
30,52,77,2600
87,44,75,2500
65,37,72,1400
19,43,63,2500
76,48,64,200
64,33,50,4000
33,3,80,800
19,30,66,3300
21,4,59,500
43,43,75,300
88,5,61,3800
103,34,67,3600
84,11,68,1600
25,50,52,3300
61,35,80,600
83,26,69,2000
78,30,79,2200
58,31,63,2600
58,37,65,3800
78,21,64,3700
99,46,74,2800
99,2,73,3900
82,10,65,1300
35,41,62,3000
28,42,57,3700
56,2,51,2200
78,51,56,300
42,52,65,2700
55,26,67,1200
21,33,53,3700
48,16,70,3600
13,3,50,1300
42,2,53,1100
11,40,55,3600
87,9,72,600
48,47,73,400
78,11,59,1300
35,13,50,1900
25,12,56,500
78,38,58,0
41,40,63,2000
97,35,62,2800
43,52,55,2500
106,9,73,2000
34,8,80,3000
65,16,70,2900
10,14,71,1300
59,15,60,700
66,10,57,1300
73,30,80,3500
13,2,75,2300
43,14,58,1000
74,4,73,1700
55,41,60,1700
29,32,72,1000
57,12,79,100
38,16,69,3100
